code,lien
code1071,https://iowacapitaldispatch.com/briefs/bird-flu-infects-another-sioux-county-dairy-herd/
code1072,https://thehorse.com/1128678/2-alabama-horses-positive-for-influenza/
code1073,https://www.facebook.com/watch/?v=985954606590710
code1074,https://www.facebook.com/story.php?story_fbid=476423108328045&id=100078810790047&rdid=1ZwvrEcssXPiOOGx&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2FXVLNhn8mnCgdumrj
code1075,https://www.elwatannews.com/news/details/7396212#goog_rewarded
code1076,https://www.elkhabar.com/press/article/246085/%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D8%A9-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D8%B9%D8%AF%D8%A9-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5-%D8%A8%D8%AF%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D9%85%D9%89-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D8%B7%D9%8A%D8%A9-%D8%A8%D8%A8%D9%84%D8%AF%D9%8A%D8%A9-%D8%B3%D9%8A%D8%AF%D9%8A-%D8%A7%D9%84%D8%B1%D8%A8%D9%8A%D8%B9/
code1077,https://www.horizons.dz/?p=135177
code1078,https://thehorse.com/1128805/georgia-horse-tests-positive-for-eee-2/
code1079,https://www.facebook.com/photo/?fbid=799949862272936&set=a.415489280718998
code1080,https://www.facebook.com/photo?fbid=853454640143458&set=pcb.853454896810099
code1081,https://www.dakotanewsnow.com/2024/06/27/west-nile-detected-brookings-county/
code1082,https://www.estrepublicain.fr/magazine-sante/2024/06/28/grippe-aviaire-un-premier-deces-humain-du-a-la-souche-h5n2
code1083,https://equimanagement.com/news/edcc-health-watch/quebec-mare-positive-for-salmonellosis/
code1084,https://www.facebook.com/APC.CHERIA/posts/pfbid02yYdgYgybuZNnW8tuKERnC4NavNqCJ9E88o4BpbMRPmUqdoHF5kcUYb4awCfQE5Qdl
code1085,https://www.lejourdalgerie.com/tizi-ouzou-68-foyers-de-dermatose-nodulaire-signales-dans-quinze-communes/
code1086,https://agadir24.info/%d9%85%d8%ae%d8%a7%d9%88%d9%81-%d9%85%d9%86-%d8%a7%d9%86%d8%aa%d9%82%d8%a7%d9%84-%d9%85%d8%b1%d8%b6-%d8%a7%d9%84%d8%ac%d9%84%d8%af-%d8%a7%d9%84%d8%b9%d9%82%d8%af%d9%8a-%d8%a5%d9%84%d9%89-%d8%a7.html
code1087,https://akhersaa.net/%D8%B9%D9%86%D8%A7%D8%A8%D8%A9-%D8%BA%D9%84%D9%82-%D8%A7%D9%84%D8%A3%D8%B3%D9%80%D9%80%D9%88%D8%A7%D9%82-%D8%A7%D9%84%D8%A3%D8%B3%D8%A8%D9%88%D8%B9%D9%8A%D9%80%D9%80%D8%A9-%D9%84%D9%84%D9%85%D8%A7%D8%B4%D9%8A%D9%80%D9%80%D8%A9-%D8%A8%D9%83%D8%A7%D9%85%D9%84-%D8%AA%D8%B1%D8%A7%D8%A8-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A9
code1088,https://www.facebook.com/photo/?fbid=882408830589773&set=pcb.882409890589667
code1089,https://www.alsumaria.tv/news/localnews/492598/%D8%AD%D9%85%D9%84%D8%A9-%D9%83%D8%A8%D8%B1%D9%89-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%84%D8%AA%D9%84%D9%82%D9%8A%D8%AD-%D8%A7%D9%84%D9%85%D8%A7%D8%B4%D9%8A%D8%A9-%D8%B6%D8%AF-%D8%A7%D9%84%D8%AD%D9%85%D9%89-%D8%A7%D9%84%D9%82%D9%84%D8%A7%D8%B9%D9%8A%D8%A9
code1090,https://www.nessma.tv/ar/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D9%88%D8%B7%D9%86%D9%8A%D8%A9/%D8%AC%D9%87%D8%A7%D8%AA/%D8%AD%D9%85%D8%A7%D9%85-%D8%B3%D9%88%D8%B3%D8%A9-%D8%AD%D9%85%D9%84%D8%A9-%D8%AA%D9%84%D9%82%D9%8A%D8%AD-%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%88%D9%85%D8%AC%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%84%D9%83%D9%84%D8%A7%D8%A8-%D9%88%D8%A7%D9%84%D9%82%D8%B7%D8%B7-%D8%B6%D8%AF-%D8%AF%D8%A7%D8%A1-%D8%A7%D9%84%D9%83%D9%84%D8%A8/511386
code1091,https://www.facebook.com/story.php?story_fbid=1052186136480996&id=100050688570292&mibextid=xfxF2i&rdid=tYjJfDPKxcHljKBf
code1092,https://www.facebook.com/groups/576056796140990/permalink/1889764628103527/?rdid=9ZkKxebEOfKi48pA&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2Fp%2FMZRMDCjR4AYtEgzw
code1093,https://www.mosaiquefm.net/ar/%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%AA%D9%88%D9%86%D8%B3-%D8%AC%D9%87%D8%A7%D8%AA/1286432/%D8%A8%D8%B9%D8%AF-%D8%B8%D9%87%D9%88%D8%B1-%D9%85%D8%B1%D8%B6-%D8%A7%D9%84%D8%AC%D9%84%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D8%AF%D9%8A-%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D9%81%D9%84%D8%A7%D8%AD%D8%A9-%D8%A8%D8%B3%D9%84%D9%8A%D8%A7%D9%86%D8%A9-%D9%8A%D8%AD%D8%B0-%D8%B1-%D9%85%D8%B1%D8%A8%D9%8A-%D8%A7%D9%84%D8%A3%D8%A8%D9%82%D8%A7%D8%B1
code1094,https://www.annasronline.com/%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA/239625-%D8%A3%D9%85-%D8%A7%D9%84%D8%A8%D9%88%D8%A7%D9%82%D9%8A-%D8%A5%D8%AC%D8%B1%D8%A7%D8%A1%D8%A7%D8%AA-%D9%88%D9%82%D8%A7%D8%A6%D9%8A%D8%A9-%D8%AA%D8%AC%D9%86%D8%A8%D8%A7-%D9%84%D9%85%D8%B1%D8%B6-%D8%A7%D9%84%D8%AA%D9%87%D8%A7%D8%A8-%D8%A7%D9%84%D8%AC%D9%84%D8%AF-%D8%A7%D9%84%D8%B9%D9%82%D8%AF%D9%8A
code1095,https://elmaouid.dz/%d9%82%d8%b3%d9%86%d8%b7%d9%8a%d9%86%d8%a9-%d9%85%d8%b1%d8%b6-%d8%a7%d9%84%d8%ac%d9%84%d8%af-%d8%a7%d9%84%d8%b9%d9%82%d8%af%d9%8a-%d8%a7%d9%84%d9%85%d8%b9%d8%af%d9%8a-%d9%84%d8%af%d9%89-%d8%a7%d9%84/?fbclid=IwZXh0bgNhZW0CMTAAAR3uh0WlS7B5EIfabiwGvn_eCmV6zBUhXEY9hJ49dIY_I6R2uudgNAZyVn4_aem_0Gcp2YtPINt8VyRY-B1ETg
code1096,https://www.wattagnet.com/poultry-meat/diseases-health/avian-influenza/article/15678693/2-minnesota-counties-have-new-avian-flu-cases
code1097,https://www.miragenews.com/avian-influenza-in-hawkesbury-1267699/#google_vignette
code1098,https://www.kbtx.com/2024/07/02/brazos-county-confirms-west-nile-virus-detected-area/
code1099,https://www.elwatannews.com/news/details/7408854
